"Step","2025.11.29_09.59.54 - reward_mean","2025.11.29_09.59.54 - reward_mean__MIN","2025.11.29_09.59.54 - reward_mean__MAX","2025.11.26_03.19.21 - reward_mean","2025.11.26_03.19.21 - reward_mean__MIN","2025.11.26_03.19.21 - reward_mean__MAX","2025.11.25_00.19.07 - reward_mean","2025.11.25_00.19.07 - reward_mean__MIN","2025.11.25_00.19.07 - reward_mean__MAX","2025.11.24_00.42.21 - reward_mean","2025.11.24_00.42.21 - reward_mean__MIN","2025.11.24_00.42.21 - reward_mean__MAX","2025.11.23_04.08.27 - reward_mean","2025.11.23_04.08.27 - reward_mean__MIN","2025.11.23_04.08.27 - reward_mean__MAX"
"96","-88.585625","-88.585625","-88.585625","-79.66384375","-79.66384375","-79.66384375","-87.524","-87.524","-87.524","-85.3358125","-85.3358125","-85.3358125","-88.56121875","-88.56121875","-88.56121875"
"100","-83.48284375","-83.48284375","-83.48284375","-76.37109375","-76.37109375","-76.37109375","-80.15171874999999","-80.15171874999999","-80.15171874999999","-80.9343125","-80.9343125","-80.9343125","-87.1808125","-87.1808125","-87.1808125"
"104","-88.77475","-88.77475","-88.77475","-81.09784375000001","-81.09784375000001","-81.09784375000001","-86.6405625","-86.6405625","-86.6405625","-89.38953125","-89.38953125","-89.38953125","-93.66328125","-93.66328125","-93.66328125"
"108","-80.76050000000001","-80.76050000000001","-80.76050000000001","-74.2595","-74.2595","-74.2595","-76.84665625","-76.84665625","-76.84665625","-73.42740625","-73.42740625","-73.42740625","-83.94081249999999","-83.94081249999999","-83.94081249999999"
"112","-75.65596875","-75.65596875","-75.65596875","-73.62309375000001","-73.62309375000001","-73.62309375000001","-72.5928125","-72.5928125","-72.5928125","-69.14265624999999","-69.14265624999999","-69.14265624999999","-82.10234375000002","-82.10234375000002","-82.10234375000002"
"116","-84.44759375","-84.44759375","-84.44759375","-83.33193750000001","-83.33193750000001","-83.33193750000001","-82.89371875","-82.89371875","-82.89371875","-80.5945625","-80.5945625","-80.5945625","-89.27525","-89.27525","-89.27525"
"120","-76.52409375","-76.52409375","-76.52409375","-72.465625","-72.465625","-72.465625","-73.05540625","-73.05540625","-73.05540625","-70.6585","-70.6585","-70.6585","-82.284375","-82.284375","-82.284375"
"124","-81.39603125","-81.39603125","-81.39603125","-79.0716875","-79.0716875","-79.0716875","-77.99306250000001","-77.99306250000001","-77.99306250000001","-77.6869375","-77.6869375","-77.6869375","-89.9675","-89.9675","-89.9675"
"128","-77.644625","-77.644625","-77.644625","-71.92490625","-71.92490625","-71.92490625","-72.14874999999999","-72.14874999999999","-72.14874999999999","-72.764625","-72.764625","-72.764625","-85.06328125","-85.06328125","-85.06328125"
"132","-79.15946875","-79.15946875","-79.15946875","-76.1679375","-76.1679375","-76.1679375","-78.01425","-78.01425","-78.01425","-76.92984375","-76.92984375","-76.92984375","-86.72256250000001","-86.72256250000001","-86.72256250000001"
"136","-75.37528125","-75.37528125","-75.37528125","-71.1839375","-71.1839375","-71.1839375","-71.242625","-71.242625","-71.242625","-68.7555","-68.7555","-68.7555","-79.98225000000001","-79.98225000000001","-79.98225000000001"
"140","-70.04590625","-70.04590625","-70.04590625","-67.5314375","-67.5314375","-67.5314375","-66.06371875","-66.06371875","-66.06371875","-68.475","-68.475","-68.475","-74.63921875","-74.63921875","-74.63921875"
"144","-69.807875","-69.807875","-69.807875","-72.31578124999999","-72.31578124999999","-72.31578124999999","-67.4403125","-67.4403125","-67.4403125","-66.0569375","-66.0569375","-66.0569375","-76.89496875","-76.89496875","-76.89496875"
"148","-67.94653124999999","-67.94653124999999","-67.94653124999999","-66.618","-66.618","-66.618","-62.099031249999996","-62.099031249999996","-62.099031249999996","-68.77909375","-68.77909375","-68.77909375","-69.33959375","-69.33959375","-69.33959375"
"152","-77.17309374999999","-77.17309374999999","-77.17309374999999","-73.68309375","-73.68309375","-73.68309375","-71.3323125","-71.3323125","-71.3323125","-72.32362499999999","-72.32362499999999","-72.32362499999999","-74.89059375","-74.89059375","-74.89059375"
"156","-70.29306249999999","-70.29306249999999","-70.29306249999999","-72.28031250000001","-72.28031250000001","-72.28031250000001","-69.35887500000001","-69.35887500000001","-69.35887500000001","-74.35778124999999","-74.35778124999999","-74.35778124999999","-69.5176875","-69.5176875","-69.5176875"
"160","-66.09746874999999","-66.09746874999999","-66.09746874999999","-65.96584375","-65.96584375","-65.96584375","-63.9544375","-63.9544375","-63.9544375","-66.5101875","-66.5101875","-66.5101875","-65.25603125","-65.25603125","-65.25603125"
"164","-63.99978125","-63.99978125","-63.99978125","-63.37949999999999","-63.37949999999999","-63.37949999999999","-58.5508125","-58.5508125","-58.5508125","-65.4153125","-65.4153125","-65.4153125","-60.89153125","-60.89153125","-60.89153125"
"168","-59.46540625","-59.46540625","-59.46540625","-63.074125","-63.074125","-63.074125","-58.7475625","-58.7475625","-58.7475625","-62.7035625","-62.7035625","-62.7035625","-66.09","-66.09","-66.09"
"172","-60.30890625000001","-60.30890625000001","-60.30890625000001","-60.2588125","-60.2588125","-60.2588125","-60.138156249999994","-60.138156249999994","-60.138156249999994","-70.22990625","-70.22990625","-70.22990625","-62.3348125","-62.3348125","-62.3348125"
"176","-59.86753125","-59.86753125","-59.86753125","-59.1718125","-59.1718125","-59.1718125","-57.026968749999995","-57.026968749999995","-57.026968749999995","-63.6921875","-63.6921875","-63.6921875","-66.13653125","-66.13653125","-66.13653125"
