"Step","2025.12.04_09.27.31 - reward_mean","2025.12.04_09.27.31 - reward_mean__MIN","2025.12.04_09.27.31 - reward_mean__MAX","2025.12.04_07.22.35 - reward_mean","2025.12.04_07.22.35 - reward_mean__MIN","2025.12.04_07.22.35 - reward_mean__MAX","2025.12.04_02.41.16 - reward_mean","2025.12.04_02.41.16 - reward_mean__MIN","2025.12.04_02.41.16 - reward_mean__MAX","2025.12.03_22.37.47 - reward_mean","2025.12.03_22.37.47 - reward_mean__MIN","2025.12.03_22.37.47 - reward_mean__MAX","2025.12.03_12.29.51 - reward_mean","2025.12.03_12.29.51 - reward_mean__MIN","2025.12.03_12.29.51 - reward_mean__MAX"
"72","-170.210875","-170.210875","-170.210875","-100.027125","-100.027125","-100.027125","-39.3636875","-39.3636875","-39.3636875","-51.2004375","-51.2004375","-51.2004375","-176.75284375","-176.75284375","-176.75284375"
"76","-181.501","-181.501","-181.501","-109.90340625","-109.90340625","-109.90340625","-63.889062499999994","-63.889062499999994","-63.889062499999994","-51.799718750000004","-51.799718750000004","-51.799718750000004","-92.6454375","-92.6454375","-92.6454375"
"80","-186.59815625","-186.59815625","-186.59815625","-99.62034374999999","-99.62034374999999","-99.62034374999999","-98.09540625","-98.09540625","-98.09540625","-57.2705","-57.2705","-57.2705","-54.585625","-54.585625","-54.585625"
"84","-175.81368750000001","-175.81368750000001","-175.81368750000001","-105.29540625","-105.29540625","-105.29540625","-46.75378125","-46.75378125","-46.75378125","-63.28828125","-63.28828125","-63.28828125","-15.38065625","-15.38065625","-15.38065625"
"88","-186.52306249999998","-186.52306249999998","-186.52306249999998","-110.28993750000001","-110.28993750000001","-110.28993750000001","-154.07440624999998","-154.07440624999998","-154.07440624999998","-61.60878125000001","-61.60878125000001","-61.60878125000001","-17.272031249999998","-17.272031249999998","-17.272031249999998"
"92","-186.34575","-186.34575","-186.34575","-106.35956250000001","-106.35956250000001","-106.35956250000001","-67.8771875","-67.8771875","-67.8771875","-79.7953125","-79.7953125","-79.7953125","-18.2630625","-18.2630625","-18.2630625"
"96","-176.48649999999998","-176.48649999999998","-176.48649999999998","-104.81256249999998","-104.81256249999998","-104.81256249999998","-226.7724375","-226.7724375","-226.7724375","-107.9923125","-107.9923125","-107.9923125","-17.82496875","-17.82496875","-17.82496875"
"100","-185.08293749999999","-185.08293749999999","-185.08293749999999","-107.97037499999999","-107.97037499999999","-107.97037499999999","-270.11065625000003","-270.11065625000003","-270.11065625000003","-124.09125","-124.09125","-124.09125","-16.99321875","-16.99321875","-16.99321875"
"104","-186.51471875","-186.51471875","-186.51471875","-107.22303124999999","-107.22303124999999","-107.22303124999999","-43.6333125","-43.6333125","-43.6333125","-88.1234375","-88.1234375","-88.1234375","-19.531375","-19.531375","-19.531375"
"108","-175.8936875","-175.8936875","-175.8936875","-117.81771875","-117.81771875","-117.81771875","-36.29565625","-36.29565625","-36.29565625","-60.9635625","-60.9635625","-60.9635625","-22.042281250000002","-22.042281250000002","-22.042281250000002"
"112","-169.06103124999998","-169.06103124999998","-169.06103124999998","-131.40637500000003","-131.40637500000003","-131.40637500000003","-42.3011875","-42.3011875","-42.3011875","-59.713468750000004","-59.713468750000004","-59.713468750000004","-29.49975","-29.49975","-29.49975"
"116","-183.72278125000003","-183.72278125000003","-183.72278125000003","-152.88740624999997","-152.88740624999997","-152.88740624999997","-66.55275","-66.55275","-66.55275","-72.75274999999999","-72.75274999999999","-72.75274999999999","-53.31475","-53.31475","-53.31475"
"120","-165.428875","-165.428875","-165.428875","-73.40196875","-73.40196875","-73.40196875","-69.397875","-69.397875","-69.397875","-110.36275","-110.36275","-110.36275","-67.01443749999999","-67.01443749999999","-67.01443749999999"
